prompt,completion
We will return many times for this oasis in mid-town.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I grew up on these bagels.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The staff is no nonsense.,"[{'term': 'staff', 'polarity': 'positive'}]"
The food options rule.,"[{'term': 'food', 'polarity': 'positive'}]"
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,"[{'term': 'bagels', 'polarity': 'positive'}]"
Worth visiting the 1st Ave spot because it is the original store.,"[{'term': '1st Ave spot', 'polarity': 'positive'}]"
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I asked the chef what he recommends and he asked me if I like Uni. (,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.)","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!","[{'term': 'Uni Hand roll', 'polarity': 'positive'}]"
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The sake menu should not be overlooked!,"[{'term': 'sake menu', 'polarity': 'positive'}]"
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Try the lobster teriyaki and the rose special roll.,"[{'term': 'lobster teriyaki', 'polarity': 'positive'}, {'term': 'rose special roll', 'polarity': 'positive'}]"
We visited Orsay during NY Restaurant Week and tried their $35 menu.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Service was very good - prompt, attentive and non-intrusive.","[{'term': 'Service', 'polarity': 'positive'}]"
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","[{'term': 'Food', 'polarity': 'positive'}, {'term': 'pork belly', 'polarity': 'negative'}]"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[{'term': 'Wine list selection', 'polarity': 'positive'}, {'term': 'wine-by-the-glass', 'polarity': 'positive'}]"
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"[{'term': 'Traditional French decour', 'polarity': 'positive'}, {'term': 'hall', 'polarity': 'negative'}]"
"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.","[{'term': 'Cafe Spice', 'polarity': 'positive'}]"
"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.","[{'term': 'Service', 'polarity': 'neutral'}]"
"Seating is always prompt, though the restaurant does fill up in the evening.","[{'term': 'Seating', 'polarity': 'positive'}]"
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[{'term': 'Food', 'polarity': 'positive'}, {'term': 'raw vegatables in side orders', 'polarity': 'negative'}]"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","[{'term': 'decor', 'polarity': 'positive'}, {'term': 'semi-private boths', 'polarity': 'positive'}]"
I have NEVER been disappointed in the Red Eye.,"[{'term': 'Red Eye', 'polarity': 'positive'}]"
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","[{'term': 'live jazz band', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
I've never ordered anything else from their menu...there's no need to.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It's simply the best meal in NYC.,"[{'term': 'meal', 'polarity': 'positive'}]"
You cannot go wrong at the Red Eye Grill.,"[{'term': 'Red Eye Grill', 'polarity': 'positive'}]"
"If we were to move from the upper east side, we would genuinely miss this restaurant.","[{'term': 'restaurant', 'polarity': 'positive'}]"
We've lived in the area for more than 8 years.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The restaurant is cute but not upscale.,"[{'term': 'restaurant', 'polarity': 'neutral'}]"
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'balance of herbs and tomatoes', 'polarity': 'positive'}]"
I would highly recommend it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It's one of our favorite places to eat in NY.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We had a great time at the Jekyll and hyde Pub last night.,"[{'term': 'Jekyll and hyde Pub', 'polarity': 'positive'}]"
We were walking around the village and went into this place just for some drinks.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[{'term': 'bar', 'polarity': 'positive'}]"
The server was really cool and served us our food and drinks with a smile.,"[{'term': 'server', 'polarity': 'positive'}]"
The place's decor and hidden bathrooms made for a good laugh.,"[{'term': 'decor', 'polarity': 'positive'}, {'term': 'hidden bathrooms', 'polarity': 'positive'}]"
I highly recommend visiting this restaurant and having dinner and drinks!,"[{'term': 'restaurant', 'polarity': 'positive'}]"
"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.","[{'term': 'place', 'polarity': 'positive'}]"
"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.","[{'term': 'Jekyll and Hyde Pub', 'polarity': 'positive'}]"
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","[{'term': 'beers', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'pumkin tortelini', 'polarity': 'positive'}]"
The entertainment was great they have shows that go on through out the dinner.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Please take my advice, go and try this place.","[{'term': 'place', 'polarity': 'positive'}]"
Its located in greenewich village.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
You will not be disapointed at all.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Our first time in New York and we had to try a New York Bagel.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We were not dissappointed in the least bit by this little gem.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The bagel was huge.,"[{'term': 'bagel', 'polarity': 'positive'}]"
They were served warm and had a soft fluffy interior.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The workers there also absolutely load the bagel with cream cheese (gets a little messy).,"[{'term': 'bagel', 'polarity': 'negative'}]"
I loved it and would HIGHLY RECOMMEND.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",
